,Company,Sector,Climate_Transition_Score,Data_Coverage,Benchmark_Weight,Prior_Return,BL_Posterior_Return,Weight,Active_Weight,Dollar_Allocation
BBY,Best Buy Co Inc,Consumer Discretionary,66.90246436612452,1.0000000000000002,0.0021141649048625794,0.11871086431212027,0.12233179876136435,0.006229841744649873,0.004115676839787294,6229841.744649873
AMCR,Amcor PLC,Materials,70.15242288320059,1.0000000000000002,0.0021141649048625794,0.08787938489260119,0.0890813426413727,0.00621123135593203,0.004097066451069451,6211231.35593203
BKNG,Booking Holdings Inc,Consumer Discretionary,90.79315953919216,1.0000000000000002,0.0021141649048625794,0.11188713704513166,0.11753836913173044,0.0061974738970200375,0.004083308992157458,6197473.897020037
TRMB,Trimble Inc,Information Technology,68.96909614277327,1.0000000000000002,0.0021141649048625794,0.12639571254570356,0.13149210205617048,0.00619067497291927,0.004076510068056691,6190674.972919269
TGT,Target Corp,Consumer Staples,70.86429589941463,1.0000000000000002,0.0021141649048625794,0.08339067358148294,0.08603054576525654,0.006190314713842385,0.004076149808979806,6190314.713842385
AES,AES Corp/The,Utilities,64.02604929069041,0.8000000000000002,0.0021141649048625794,0.11275581969934936,0.11319299530256996,0.00618078830349331,0.004066623398630731,6180788.30349331
HST,Host Hotels & Resorts Inc,Real Estate,71.49173438676982,1.0000000000000002,0.0021141649048625794,0.12368951430259525,0.12636980398648737,0.006149402420624231,0.004035237515761651,6149402.420624231
SMCI,Super Micro Computer Inc,Information Technology,64.19972857011447,1.0000000000000002,0.0021141649048625794,0.13189778619942719,0.13743188606948187,0.00614229103830738,0.0040281261334448,6142291.03830738
WST,West Pharmaceutical Services I,Health Care,68.20600341514248,1.0000000000000002,0.0021141649048625794,0.0750551670377431,0.07733155547273138,0.006118072923860958,0.004003908018998378,6118072.923860958
MGM,MGM Resorts International,Consumer Discretionary,73.08520577050692,1.0000000000000002,0.0021141649048625794,0.1689595627586598,0.17476286549805195,0.006064738782944914,0.003950573878082335,6064738.782944914
WSM,Williams-Sonoma Inc,Consumer Discretionary,73.15578882388768,1.0000000000000002,0.0021141649048625794,0.13214986331051418,0.13680401724996355,0.006049223603159461,0.003935058698296882,6049223.603159461
NWS,News Corp,Communication Services,80.06560414758445,1.0000000000000002,0.0021141649048625794,0.1000281070126412,0.10384159177678746,0.006041858137306555,0.003927693232443975,6041858.137306555
CVS,CVS Health Corp,Health Care,73.06940285187021,1.0000000000000002,0.0021141649048625794,0.06638475862922456,0.06939538582088595,0.006012226346247361,0.003898061441384782,6012226.346247361
CHD,Church & Dwight Co Inc,Consumer Staples,62.13488326557298,1.0000000000000002,0.0021141649048625794,0.03513615466110697,0.03529423506432597,0.006005520234397583,0.003891355329535004,6005520.234397584
IT,Gartner Inc,Information Technology,70.4238877685788,1.0000000000000002,0.0021141649048625794,0.10491246050202988,0.1118903223462053,0.0059610899536970624,0.003846925048834483,5961089.953697062
NRG,NRG Energy Inc,Utilities,69.29168100609357,1.0000000000000002,0.0021141649048625794,0.10216020759694433,0.10251704194654969,0.005948064360227652,0.0038338994553650725,5948064.360227652
TT,Trane Technologies PLC,Industrials,77.96079062297503,1.0000000000000002,0.0021141649048625794,0.09846622740053408,0.09919429052863553,0.005939568171648154,0.0038254032667855748,5939568.171648154
EXPE,Expedia Group Inc,Consumer Discretionary,73.75685599132807,1.0000000000000002,0.0021141649048625794,0.14010336665879894,0.1471610497201421,0.005938621904423369,0.00382445699956079,5938621.904423369
AMD,Advanced Micro Devices Inc,Information Technology,62.400523880868505,0.9200000000000002,0.0021141649048625794,0.14183495674122804,0.1450517938975047,0.005875677905939522,0.003761513001076943,5875677.905939522
COF,Capital One Financial Corp,Financials,73.63596634279924,0.8000000000000002,0.0021141649048625794,0.15213857946604661,0.15708594247644678,0.005858883119562323,0.003744718214699744,5858883.119562323
F,Ford Motor Co,Consumer Discretionary,65.93624378485305,0.9200000000000002,0.0021141649048625794,0.12620203731036939,0.12794693459403594,0.005808980559760921,0.0036948156548983415,5808980.559760921
JPM,JPMorgan Chase & Co,Financials,49.10430858663615,0.8000000000000002,0.0021141649048625794,0.10968351649471297,0.11314230677812745,0.005786064325347142,0.0036718994204845627,5786064.325347142
NTAP,NetApp Inc,Information Technology,67.94529453723402,1.0000000000000002,0.0021141649048625794,0.10878872794083452,0.1126487577916498,0.005785341817998101,0.0036711769131355216,5785341.817998101
XYZ,Block Inc,Financials,75.54032009381967,1.0000000000000002,0.0021141649048625794,0.17722887158571107,0.18586001572731609,0.005774619472415883,0.003660454567553304,5774619.472415883
MO,Altria Group Inc,Consumer Staples,75.33761935877655,1.0000000000000002,0.0021141649048625794,0.050775053317555274,0.05128084986205999,0.005772849378525046,0.003658684473662467,5772849.378525047
